stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
nostop,nolug,bb2,0.058564,0.093614,0.084,0.14213,0.083768,0.103134,1.0431294752,2.5574721002,2.2472,2.864950985,1.3029744888,2.5605589122
nostop,nolug,bm25,0.138182,0.351804,0.338,0.352956,0.222776,0.367764,1.2299812938,4.4072675592,4.1978,8.003038282,1.2531733912,3.6174637352
nostop,nolug,dfiz,0.159182,0.34709,0.326,0.415598,0.267182,0.378886,1.3911551138,3.419084765,3.1162,12.6971029974,1.3464367138,3.3090567202
nostop,nolug,dfree,0.209274,0.460808,0.424,0.4736,0.303386,0.461444,1.9305848362,4.0335043168,3.9512,17.99551724,1.2318644002,2.9460276832
nostop,nolug,dirichletlm,0.174052,0.386338,0.354,0.431846,0.269316,0.417772,1.6826445448,4.1193723978,3.7442,19.163662901,1.3218566272,3.3713568008
nostop,nolug,dlh,0.201516,0.441486,0.422,0.465914,0.304124,0.4285,2.0313214472,4.4911815002,4.2658,23.3644525372,1.2125506512,2.9831375
nostop,nolug,dph,0.21161,0.461616,0.45,0.478236,0.304878,0.456454,2.006669985,4.1598556872,4.065,26.8656780056,1.3282523458,2.9135872642
nostop,nolug,hiemstralm,0.185252,0.393922,0.362,0.445478,0.284728,0.41701,1.8385484248,4.5798299058,4.3978,28.3258101312,1.3667631808,3.495139485
nostop,nolug,ifb2,0.024788,0.057314,0.056,0.069882,0.036912,0.06521,0.2949703528,1.1415150402,1.0632,72.8128328378,0.4148229328,1.264781245
nostop,nolug,inb2,0.22266,0.47136,0.444,0.469928,0.30691,0.477218,2.50203318,4.64974798,4.7432,42.1886854816,1.549622125,2.9968531938
nostop,nolug,inl2,0.218922,0.464404,0.446,0.484568,0.31809,0.461856,2.1334732058,4.2140905792,3.9642,46.5379801584,1.420281185,3.0152134432
nostop,nolug,inexpb2,0.22919,0.48177,0.46,0.488666,0.317216,0.49618,2.469312845,4.544692625,4.5,50.0977090104,1.4370772672,2.96682764
