topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
424,nostop,nolug,bm25,0.0064,0.0037,0.0000,0.0964,0.0634,0.0382
425,nostop,nolug,bm25,0.1238,0.7655,0.6000,0.3031,0.2256,0.6898
426,nostop,nolug,bm25,0.0123,0.0987,0.1000,0.1301,0.0845,0.1285
427,nostop,nolug,bm25,0.1278,0.6311,0.4000,0.3004,0.2506,0.6868
428,nostop,nolug,bm25,0.0413,0.2878,0.3000,0.2511,0.1846,0.3149
429,nostop,nolug,bm25,0.2645,0.3241,0.3000,0.6755,0.2517,0.5587
430,nostop,nolug,bm25,0.4906,0.4161,0.3000,0.9551,0.5934,0.3675
431,nostop,nolug,bm25,0.0823,0.6330,0.6000,0.2719,0.1790,0.6821
432,nostop,nolug,bm25,0.0045,0.0012,0.0000,0.1170,0.0500,0.0272
433,nostop,nolug,bm25,0.0010,0.0000,0.0000,0.0411,0.0000,0.0063
434,nostop,nolug,bm25,0.0166,0.0000,0.0000,0.1731,0.0141,0.0081
435,nostop,nolug,bm25,0.0428,0.3284,0.2000,0.3068,0.1562,0.5893
436,nostop,nolug,bm25,0.0139,0.0642,0.1000,0.1340,0.0938,0.0979
437,nostop,nolug,bm25,0.0008,0.0000,0.0000,0.0526,0.0395,0.0040
438,nostop,nolug,bm25,0.1342,0.4149,0.3000,0.5073,0.3318,0.6455
439,nostop,nolug,bm25,0.0348,0.1600,0.1000,0.2083,0.1326,0.2601
440,nostop,nolug,bm25,0.0321,0.1300,0.3000,0.2619,0.1682,0.1204
441,nostop,nolug,bm25,0.4359,0.6144,0.8000,0.7715,0.4459,0.3828
442,nostop,nolug,bm25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
443,nostop,nolug,bm25,0.0039,0.0005,0.0000,0.0894,0.0281,0.0265
444,nostop,nolug,bm25,0.4366,0.6660,0.5000,0.7073,0.4910,0.6887
445,nostop,nolug,bm25,0.1450,0.7071,0.8000,0.3364,0.2745,0.6361
446,nostop,nolug,bm25,0.0670,0.3254,0.3000,0.3194,0.2514,0.3524
447,nostop,nolug,bm25,0.0522,0.0842,0.1000,0.4899,0.1522,0.1160
448,nostop,nolug,bm25,0.0001,0.0000,0.0000,0.0204,0.0249,0.0017
449,nostop,nolug,bm25,0.0108,0.1571,0.2000,0.0684,0.0702,0.1673
450,nostop,nolug,bm25,0.1346,0.5986,0.7000,0.3379,0.2271,0.2725
401,nostop,nolug,dfiz,0.0024,0.0000,0.0000,0.0693,0.0095,0.0068
402,nostop,nolug,dfiz,0.0178,0.0821,0.1000,0.2260,0.1076,0.1117
403,nostop,nolug,dfiz,0.3917,0.4431,0.6000,0.7848,0.4372,0.2530
