stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
nostop,nolug,bb2,0.04908,0.097692,0.092,0.134246,0.078036,0.098618,0.71056504,2.7955497368,2.6768,2.5495124442,1.0814558152,2.3842022338
nostop,nolug,bm25,0.12137,0.317698,0.31,0.31346,0.1949,0.324084,1.120879525,4.6074970498,4.605,6.856382114,1.0849106,3.3625160872
nostop,nolug,dfiz,0.135668,0.341834,0.33,0.376402,0.233606,0.370492,1.2063658688,4.1406290322,4.025,10.489866159,1.0924973682,3.3705731768
nostop,nolug,dfree,0.185404,0.446402,0.418,0.443498,0.282886,0.481502,1.5264196192,4.3331240298,4.4938,15.307015392,1.0008670002,2.8939917898
nostop,nolug,dirichletlm,0.152646,0.373894,0.346,0.40654,0.257536,0.413714,1.3232974442,3.8578191882,3.5642,15.907705746,1.0942142952,3.2317582002
nostop,nolug,dlh,0.175666,0.423168,0.412,0.43994,0.266042,0.436622,1.3016113522,4.1433059488,4.1928,19.418399866,0.9304426418,2.7841155258
nostop,nolug,dph,0.183734,0.450982,0.438,0.446436,0.284102,0.46652,1.3051332322,4.2624423138,4.4578,21.7992635244,0.9020456898,2.73910462
nostop,nolug,hiemstralm,0.151812,0.36775,0.362,0.418112,0.25512,0.367374,1.2002160128,4.072548505,3.7378,22.6407259668,1.13110042,3.0806900162
nostop,nolug,ifb2,0.018222,0.05288,0.05,0.0534,0.030096,0.062438,0.1615845458,1.3356585,1.365,63.37810629,0.2861201592,1.5053132778
nostop,nolug,inb2,0.191946,0.456224,0.418,0.454632,0.2837,0.46533,1.4269242042,4.2072168912,4.4938,35.7183464908,1.10810206,2.685144685
nostop,nolug,inl2,0.193188,0.455486,0.432,0.461162,0.291138,0.45433,1.3872173128,4.3584744202,4.0488,38.4773149206,0.9941341778,2.971970465
nostop,nolug,inexpb2,0.194672,0.454378,0.424,0.462754,0.287732,0.459418,1.4098092808,4.1969134658,4.0112,40.8212813168,1.1620557488,2.8006967538
