stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
nostop,nolug,bb2,0.021414,0.059228,0.06,0.068402,0.039534,0.059378,0.1831780602,1.1818487008,1.08,1.2372943298,0.5150518322,1.4737501458
nostop,nolug,bm25,0.252498,0.55518,0.534,0.547102,0.339328,0.438116,1.4756517298,4.24349746,4.6922,14.4709039396,0.8369373208,3.0209868872
nostop,nolug,dfiz,0.17659,0.491704,0.46,0.435306,0.27771,0.34605,1.222145945,4.5361847192,4.62,12.5170083294,1.085161565,2.057281765
nostop,nolug,dfree,0.308518,0.585264,0.576,0.600758,0.399268,0.42767,1.8315165738,4.1225576752,4.0512,22.7703350384,1.2242557288,2.448715505
nostop,nolug,dirichletlm,0.229788,0.524094,0.516,0.515374,0.335324,0.379562,1.6487596528,5.3142938082,5.3272,19.9303318282,1.1005928112,2.7832064778
nostop,nolug,dlh,0.205188,0.454538,0.456,0.49461,0.310522,0.34598,1.4809144528,3.9471421178,3.7632,21.135494418,0.9384642258,2.52765986
nostop,nolug,dph,0.301532,0.592668,0.568,0.592062,0.398324,0.427646,1.8280731888,4.0628096088,4.2288,28.8550868286,1.2430952912,2.8029713642
nostop,nolug,hiemstralm,0.17735,0.379224,0.368,0.477654,0.287384,0.289458,1.254400145,4.1039539512,3.8888,25.1444765392,0.9317162072,2.3838307018
nostop,nolug,ifb2,0.009962,0.04077,0.032,0.042988,0.027784,0.042928,0.0640120178,0.705907465,0.3888,97.505234012,0.2394170272,0.6881483608
nostop,nolug,inb2,0.270456,0.582622,0.568,0.54878,0.364434,0.447586,1.5541275032,4.5789561058,5.0888,43.369512992,1.2274418922,3.0081385202
nostop,nolug,inl2,0.2838,0.584948,0.57,0.580994,0.361792,0.464914,1.56715132,4.0396318448,4.425,49.4177506678,0.8466345968,3.2646696802
nostop,nolug,inexpb2,0.272702,0.589586,0.564,0.56325,0.362716,0.456692,1.5453117698,4.3518675002,4.6752,48.88730106,1.2612407272,2.9750308368
nostop,nolug,jskls,0.312822,0.595652,0.596,0.601324,0.402356,0.434868,1.8672187858,4.0550506848,4.1192,56.6491503248,1.2380586832,2.5770850088
nostop,nolug,lemurtfidf,0.234572,0.55896,0.532,0.522604,0.324968,0.45283,1.3985312808,4.26722962,4.3288,48.929455488,0.8700922888,3.415139525
nostop,nolug,lgd,0.296028,0.5785,0.56,0.580206,0.388214,0.424596,1.9247967608,4.6334524,4.88,57.5370638686,1.1459899002,2.8736360192
nostop,nolug,pl2,0.058294,0.168156,0.162,0.143888,0.092794,0.157622,0.7560988482,3.4958400432,3.3378,136.041754768,1.0429027682,3.1773994858
nostop,nolug,tfidf,0.281422,0.589794,0.582,0.574334,0.369008,0.45006,1.5424775058,3.8993848082,4.3938,70.2443332402,1.0325862768,2.7060187
