topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
351,nostop,nolug,bb2,0,0,0,0,0,0
352,nostop,nolug,bb2,0,0,0,0,0,0
353,nostop,nolug,bb2,0.0209,0,0,0.2201,0.1045,0.0192
354,nostop,nolug,bb2,0,0,0,0,0,0
355,nostop,nolug,bb2,0.0001,0,0,0.0114,0,0.0016
356,nostop,nolug,bb2,0,0,0,0,0,0
357,nostop,nolug,bb2,0,0,0,0,0,0
358,nostop,nolug,bb2,0.2033,0.0885,0.1,0.6741,0.3452,0.0958
359,nostop,nolug,bb2,0.0014,0,0,0.104,0.0352,0.0032
360,nostop,nolug,bb2,0,0,0,0,0,0
361,nostop,nolug,bb2,0.2918,0.3244,0.5,0.7103,0.3892,0.2385
362,nostop,nolug,bb2,0.0091,0,0,0.2169,0.0474,0.0113
363,nostop,nolug,bb2,0.0137,0.0004,0,0.2462,0.0217,0.0268
364,nostop,nolug,bb2,0.5824,0.8004,0.7,0.8379,0.6257,0.6911
365,nostop,nolug,bb2,0.4135,0.868,0.9,0.6897,0.4521,0.693
366,nostop,nolug,bb2,0.0002,0,0,0.0085,0.0068,0.0076
367,nostop,nolug,bb2,0,0,0,0,0,0
368,nostop,nolug,bb2,0.0555,0.0204,0,0.3543,0.215,0.0585
369,nostop,nolug,bb2,0,0,0,0,0,0
370,nostop,nolug,bb2,0,0,0,0,0,0
371,nostop,nolug,bb2,0,0,0,0,0,0
372,nostop,nolug,bb2,0,0,0,0,0,0
373,nostop,nolug,bb2,0,0,0,0,0,0
374,nostop,nolug,bb2,0.21,0.4633,0.5,0.5771,0.3969,0.5956
375,nostop,nolug,bb2,0,0,0,0,0,0
376,nostop,nolug,bb2,0,0,0,0,0,0
377,nostop,nolug,bb2,0,0,0,0,0,0
378,nostop,nolug,bb2,0,0,0,0,0,0
379,nostop,nolug,bb2,0.1745,0.3762,0.2,0.3522,0.2369,0.6387
380,nostop,nolug,bb2,0.0097,0,0,0.269,0.07,0.0147
381,nostop,nolug,bb2,0,0,0,0,0,0
382,nostop,nolug,bb2,0,0,0,0,0,0
383,nostop,nolug,bb2,0,0,0,0,0,0
384,nostop,nolug,bb2,0,0,0,0,0,0
385,nostop,nolug,bb2,0,0,0,0,0,0
386,nostop,nolug,bb2,0,0,0,0,0,0
387,nostop,nolug,bb2,0.049,0.0129,0,0.3989,0.2114,0.0533
388,nostop,nolug,bb2,0,0,0,0,0,0
389,nostop,nolug,bb2,0.0001,0,0,0.0175,0.0005,0.0037
390,nostop,nolug,bb2,0.0455,0.5742,0.4,0.1872,0.1114,0.68
391,nostop,nolug,bb2,0,0,0,0,0,0
392,nostop,nolug,bb2,0,0,0,0,0,0
393,nostop,nolug,bb2,0.0366,0.3726,0.3,0.1609,0.1174,0.3629
394,nostop,nolug,bb2,0,0,0,0,0,0
395,nostop,nolug,bb2,0,0,0,0.0031,0,0.0009
396,nostop,nolug,bb2,0.3318,0.9696,1,0.5038,0.4,0.6931
397,nostop,nolug,bb2,0.0003,0,0,0.0439,0.0236,0.0013
398,nostop,nolug,bb2,0,0,0,0,0,0
399,nostop,nolug,bb2,0,0,0,0,0,0
400,nostop,nolug,bb2,0.0046,0.0137,0,0.1253,0.0909,0.0401
351,nostop,nolug,bm25,0.3706,0.9545,1,0.524,0.4047,0.6931
352,nostop,nolug,bm25,0,0,0,0,0,0
353,nostop,nolug,bm25,0.2941,0.7655,0.6,0.5464,0.335,0.6905
354,nostop,nolug,bm25,0.0174,0.4208,0.4,0.11,0.0848,0.3502
355,nostop,nolug,bm25,0.0596,0.2902,0.3,0.2848,0.1845,0.5545
356,nostop,nolug,bm25,0.0038,0.0006,0,0.0987,0.0378,0.021
357,nostop,nolug,bm25,0,0,0,0.0027,0,0.0011
358,nostop,nolug,bm25,0.2068,0.143,0.2,0.6795,0.3531,0.1223
359,nostop,nolug,bm25,0.0329,0.0133,0,0.3829,0.122,0.0521
360,nostop,nolug,bm25,0.4001,0.9578,1,0.6122,0.3752,0.6931
361,nostop,nolug,bm25,0.2791,0.3272,0.5,0.6863,0.3056,0.2079
362,nostop,nolug,bm25,0.0793,0.1799,0.2,0.4001,0.2306,0.2104
363,nostop,nolug,bm25,0.0554,0.0511,0.1,0.4002,0.2096,0.0832
364,nostop,nolug,bm25,0.4937,0.6833,0.8,0.812,0.4724,0.3858
365,nostop,nolug,bm25,0.6739,0.9693,1,0.8335,0.4806,0.6931
366,nostop,nolug,bm25,0.1299,0.5693,0.6,0.4433,0.2838,0.6311
367,nostop,nolug,bm25,0.0447,0.3678,0.3,0.2016,0.1421,0.5748
368,nostop,nolug,bm25,0.3871,0.851,0.8,0.5942,0.4176,0.6913
369,nostop,nolug,bm25,0.1608,0.36,0.2,0.2389,0.2538,0.6281
370,nostop,nolug,bm25,0,0,0,0.0067,0.0007,0.0024
371,nostop,nolug,bm25,0.0304,0.129,0.1,0.2327,0.1073,0.1797
372,nostop,nolug,bm25,0.1421,0.4437,0.4,0.4193,0.2859,0.3513
373,nostop,nolug,bm25,0.0118,0.0115,0,0.1932,0.1117,0.0485
374,nostop,nolug,bm25,0.2354,0.3272,0.4,0.6029,0.4366,0.2547
375,nostop,nolug,bm25,0.0804,0.3608,0.4,0.2943,0.2845,0.5606
376,nostop,nolug,bm25,0.0003,0,0,0.0283,0,0.0052
377,nostop,nolug,bm25,0.1027,0.3903,0.3,0.3919,0.2126,0.593
378,nostop,nolug,bm25,0,0,0,0,0,0
379,nostop,nolug,bm25,0.2063,0.4663,0.3,0.3682,0.3397,0.6574
380,nostop,nolug,bm25,0.1007,0.1549,0.2,0.5193,0.2302,0.1958
