topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
501,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
502,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
503,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
504,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
505,nostop,nolug,bb2,0.3524,0.6866,0.6000,0.5655,0.3951,0.4439
506,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
507,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
508,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
509,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
510,nostop,nolug,bb2,0.3554,0.7853,0.7000,0.6498,0.4776,0.4509
511,nostop,nolug,bb2,0.2137,0.6005,0.7000,0.5861,0.3655,0.4218
512,nostop,nolug,bb2,0.1362,0.1634,0.2000,0.6130,0.2875,0.2711
513,nostop,nolug,bb2,0.0008,0.0000,0.0000,0.0843,0.0417,0.0017
514,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
515,nostop,nolug,bb2,0.1455,0.2673,0.2000,0.5706,0.2893,0.7807
516,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
517,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
518,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
519,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
520,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
521,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
522,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
523,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
524,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
525,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
526,nostop,nolug,bb2,0.0588,0.0133,0.0000,0.4153,0.1571,0.0602
527,nostop,nolug,bb2,0.0491,0.4639,0.6000,0.2908,0.2036,0.3087
528,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
529,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
530,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
531,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
532,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
533,nostop,nolug,bb2,0.0004,0.0000,0.0000,0.0575,0.0000,0.0061
534,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
535,nostop,nolug,bb2,0.0031,0.0003,0.0000,0.1114,0.0635,0.0109
536,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
537,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
538,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
539,nostop,nolug,bb2,0.0745,0.2538,0.2000,0.4554,0.1990,0.3964
540,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
541,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
542,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
543,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
544,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
545,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
546,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
547,nostop,nolug,bb2,0.1057,0.1523,0.3000,0.4214,0.3125,0.0923
548,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
549,nostop,nolug,bb2,0.0774,0.0172,0.0000,0.3899,0.0698,0.0363
550,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
501,nostop,nolug,bm25,0.0219,0.2881,0.2000,0.1142,0.1029,0.4389
502,nostop,nolug,bm25,0.0350,0.3279,0.3000,0.2789,0.1359,0.2745
503,nostop,nolug,bm25,0.0453,0.2373,0.2000,0.2363,0.1857,0.4083
504,nostop,nolug,bm25,0.3274,0.7059,0.6000,0.5194,0.4188,0.8336
505,nostop,nolug,bm25,0.2745,0.6249,0.6000,0.5068,0.3769,0.3951
506,nostop,nolug,bm25,0.0237,0.0005,0.0000,0.5289,0.0370,0.0122
507,nostop,nolug,bm25,0.0432,0.1935,0.2000,0.2954,0.2025,0.1178
508,nostop,nolug,bm25,0.0241,0.0247,0.0000,0.3117,0.1380,0.0383
