topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
751,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
752,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
753,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
754,nostop,nolug,bb2,0.1358,0.0591,0.0000,0.4062,0.2435,0.0655
755,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
756,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
757,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
758,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
759,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
760,nostop,nolug,bb2,0.0050,0.0247,0.0000,0.0897,0.0485,0.0621
761,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
762,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
763,nostop,nolug,bb2,0.0258,0.0778,0.2000,0.1883,0.1067,0.1159
764,nostop,nolug,bb2,0.0003,0.0000,0.0000,0.0207,0.0037,0.0065
765,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
766,nostop,nolug,bb2,0.2355,0.9849,1.0000,0.4611,0.2937,0.5891
767,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
768,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
769,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
770,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
771,nostop,nolug,bb2,0.2466,0.8481,0.8000,0.4499,0.3339,0.5890
772,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
773,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
774,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
775,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
776,nostop,nolug,bb2,0.1941,0.3147,0.4000,0.6102,0.3793,0.1896
777,nostop,nolug,bb2,0.2724,0.5295,0.6000,0.6325,0.4164,0.7869
778,nostop,nolug,bb2,0.0442,0.0892,0.1000,0.2429,0.1700,0.1245
779,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
780,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
781,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0011,-0.0430,0.0003
782,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
783,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
784,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
785,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
786,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
787,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
788,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
789,nostop,nolug,bb2,0.2497,0.3165,0.4000,0.6546,0.4078,0.1525
790,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
791,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
792,nostop,nolug,bb2,0.0019,0.1280,0.1000,0.0370,0.0164,0.0905
793,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
794,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
795,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
796,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
797,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
798,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
799,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
751,nostop,nolug,bm25,0.1609,0.2199,0.2000,0.5050,0.3540,0.1918
752,nostop,nolug,bm25,0.2797,0.9434,1.0000,0.5641,0.2815,0.8630
753,nostop,nolug,bm25,0.2301,0.5006,0.5000,0.6947,0.3888,0.7945
754,nostop,nolug,bm25,0.1082,0.3842,0.4000,0.3657,0.2079,0.3294
755,nostop,nolug,bm25,0.4608,0.8646,0.8000,0.7276,0.4610,0.8389
756,nostop,nolug,bm25,0.3436,0.7075,0.7000,0.6065,0.3372,0.4798
757,nostop,nolug,bm25,0.1636,0.6884,0.5000,0.3916,0.2592,0.4614
758,nostop,nolug,bm25,0.6942,0.9921,1.0000,0.8997,0.6188,0.5891
759,nostop,nolug,bm25,0.1169,0.6330,0.6000,0.4394,0.2785,0.8553
760,nostop,nolug,bm25,0.1052,0.3558,0.2000,0.5316,0.2378,0.4505
761,nostop,nolug,bm25,0.3206,0.9716,1.0000,0.5351,0.3432,0.4629
