topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
701,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
702,nostop,nolug,bb2,0.0049,0.1212,0.3000,0.0567,0.0462,0.1041
704,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
705,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
706,nostop,nolug,bb2,0.0010,0.0000,0.0000,0.0470,0.0012,0.0028
707,nostop,nolug,bb2,0.1474,0.5405,0.5000,0.5194,0.3187,0.4789
708,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
709,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
710,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
711,nostop,nolug,bb2,0.0003,0.0000,0.0000,0.0303,0.0000,0.0015
712,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
713,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
714,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
715,nostop,nolug,bb2,0.0003,0.0000,0.0000,0.0294,0.0000,0.0024
716,nostop,nolug,bb2,0.0649,0.2907,0.3000,0.3210,0.2203,0.4079
717,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
718,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
719,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
720,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
721,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0037,0.0000,0.0005
722,nostop,nolug,bb2,0.2753,0.1680,0.2000,0.6440,0.4147,0.1458
723,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
724,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
725,nostop,nolug,bb2,0.1380,0.0802,0.1000,0.4768,0.2012,0.0724
726,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
727,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
728,nostop,nolug,bb2,0.2808,0.6405,0.8000,0.5439,0.2805,0.2516
729,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
730,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
731,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
732,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
733,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
734,nostop,nolug,bb2,0.0914,0.3017,0.3000,0.3552,0.1875,0.1945
735,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
736,nostop,nolug,bb2,0.5247,0.9942,1.0000,0.7188,0.3808,0.4875
737,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
738,nostop,nolug,bb2,0.0005,0.0000,0.0000,0.0350,0.0048,0.0047
739,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
740,nostop,nolug,bb2,0.0807,0.0954,0.1000,0.4476,0.2414,0.0808
741,nostop,nolug,bb2,0.0683,0.0010,0.0000,0.4138,0.1689,0.0231
742,nostop,nolug,bb2,0.3774,0.6469,0.5000,0.7864,0.4385,0.4516
743,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
744,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
745,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
746,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
747,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
748,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
749,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
750,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
701,nostop,nolug,bm25,0.0198,0.0037,0.0000,0.2040,0.1405,0.0438
702,nostop,nolug,bm25,0.1403,0.5953,0.5000,0.3748,0.2464,0.8607
704,nostop,nolug,bm25,0.1495,0.2473,0.4000,0.4181,0.4269,0.1309
705,nostop,nolug,bm25,0.3053,0.1899,0.3000,0.6305,0.4359,0.0967
706,nostop,nolug,bm25,0.1663,0.1571,0.2000,0.5348,0.3569,0.1031
707,nostop,nolug,bm25,0.2208,0.8136,0.8000,0.5855,0.3858,0.8629
708,nostop,nolug,bm25,0.3021,0.6769,0.7000,0.6341,0.4289,0.4382
709,nostop,nolug,bm25,0.6381,0.9870,1.0000,0.8509,0.6240,0.4661
710,nostop,nolug,bm25,0.3423,0.4848,0.6000,0.6753,0.4839,0.3489
711,nostop,nolug,bm25,0.1549,0.5707,0.4000,0.4354,0.3153,0.4162
712,nostop,nolug,bm25,0.4731,0.9647,0.9000,0.6529,0.3732,0.5891
713,nostop,nolug,bm25,0.2237,0.2545,0.3000,0.5508,0.4019,0.2794
714,nostop,nolug,bm25,0.0571,0.1871,0.1000,0.3995,0.2201,0.1826
715,nostop,nolug,bm25,0.1464,0.2396,0.3000,0.4991,0.3269,0.2041
716,nostop,nolug,bm25,0.0948,0.4023,0.4000,0.4244,0.2635,0.8050
717,nostop,nolug,bm25,0.3253,0.6824,0.7000,0.5905,0.3105,0.3456
718,nostop,nolug,bm25,0.2011,0.8530,0.9000,0.4484,0.2192,0.4549
719,nostop,nolug,bm25,0.1647,0.7407,0.8000,0.4408,0.2350,0.8542
720,nostop,nolug,bm25,0.1395,0.2207,0.2000,0.4160,0.2082,0.1741
721,nostop,nolug,bm25,0.0505,0.2805,0.4000,0.2718,0.1405,0.1597
722,nostop,nolug,bm25,0.3215,0.3589,0.4000,0.6618,0.4611,0.1957
723,nostop,nolug,bm25,0.1490,0.0423,0.0000,0.5228,0.3342,0.0666
