stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
nostop,nolug,bm25,0.041514,0.07768,0.082,0.11266,0.060904,0.055078,0.5511405602,2.04157534,2.1338,2.3590077,0.7369221792,0.8331350258
nostop,nolug,dfiz,0.223228,0.468384,0.46,0.509482,0.318894,0.373272,1.1761611808,4.3897157472,4.26,11.675925518,0.8491731082,3.5730300808
nostop,nolug,dfree,0.161922,0.47128,0.466,0.420334,0.257276,0.38133,1.0262047458,4.05029128,4.0122,10.894046995,1.0408883312,3.246682505
nostop,nolug,dirichletlm,0.242198,0.520696,0.504,0.533684,0.322454,0.416196,1.4500976898,4.5576506792,4.8792,16.9959036472,1.0080810842,3.6230927392
nostop,nolug,dlh,0.1849,0.485456,0.47,0.457164,0.285956,0.380022,1.10836604,4.2781202632,4.225,15.6854773304,0.9468543032,3.1713125458
nostop,nolug,dph,0.1759,0.365486,0.378,0.454078,0.267076,0.345866,1.01291224,4.1207690202,4.2658,17.3188075996,0.9212765312,4.7989912722
nostop,nolug,hiemstralm,0.251888,0.545822,0.552,0.541742,0.330034,0.434094,1.4792016528,4.4630260658,4.5648,23.2691479126,1.0108406522,3.6750464482
nostop,nolug,ifb2,0.117704,0.226006,0.206,0.340778,0.19713,0.225772,0.9058482792,3.4417025082,3.2082,24.751565372,1.028503325,3.4538577008
nostop,nolug,inb2,0.068874,0.151548,0.146,0.148262,0.088254,0.125474,1.0857101562,3.5249597048,3.4642,55.287129589,1.5957012042,2.5725335362
nostop,nolug,inl2,0.23335,0.51372,0.514,0.515816,0.326,0.391208,1.198148565,4.54461794,4.5202,37.193210848,0.8181357,3.3485128368
nostop,nolug,inexpb2,0.25071,0.51022,0.504,0.540752,0.332422,0.3915,1.313121045,4.66995026,4.4792,41.7050772168,0.8595678258,3.21169578
nostop,nolug,jskls,0.239706,0.491066,0.496,0.533074,0.329536,0.37784,1.3241555282,4.7633258122,4.7192,42.0427806032,0.8193257952,3.38671478
nostop,nolug,lemurtfidf,0.245302,0.525262,0.5,0.544108,0.33657,0.415922,1.3150615498,4.3579395178,4.44,44.8809963844,0.832834225,3.4929345658
nostop,nolug,lgd,0.218454,0.49322,0.484,0.49251,0.294446,0.39832,1.3110540642,5.4344871,5.6072,40.897084426,0.8958665842,4.00356852
nostop,nolug,pl2,0.183952,0.461736,0.45,0.434366,0.266544,0.367808,1.2832649048,5.0741121952,4.785,41.773816451,1.3433791032,3.8946630968
nostop,nolug,tfidf,0.139444,0.291758,0.288,0.322806,0.194746,0.226208,1.2905045232,4.9771312418,4.8528,55.7044080792,1.7611768442,3.5222479368
nostop,krovetz,bb2,0.160202,0.367164,0.348,0.368196,0.219468,0.275548,1.3660655098,5.8672231552,5.5848,53.0956813784,1.5402789688,3.5078792448
nostop,krovetz,bm25,0.122486,0.240564,0.246,0.285608,0.171198,0.187566,1.3718434402,4.8287522352,4.7242,71.4318137216,1.6432025098,3.4253039722
nostop,krovetz,dfiz,0.203216,0.460436,0.438,0.472446,0.2909,0.367366,1.3608838272,4.5168078952,4.6378,59.8658619166,1.03754712,2.8211792922
nostop,krovetz,dfree,0.197826,0.45062,0.458,0.480218,0.289598,0.359124,1.4033519762,3.85294344,3.8818,62.6607278128,1.1419226898,3.1150817312
nostop,krovetz,dirichletlm,0.230022,0.529604,0.5,0.516094,0.307066,0.419274,1.5446482858,4.6804186392,5.08,69.8014550546,1.1971464322,3.1589928562
nostop,krovetz,dlh,0.181972,0.438018,0.444,0.45268,0.274224,0.359276,1.2428584408,4.8516608938,5.3432,64.462383606,1.0674682312,3.3593528712
nostop,krovetz,dph,0.216718,0.432582,0.418,0.508276,0.314842,0.364822,1.3029150538,4.5774187538,4.2538,72.323232394,1.0133801018,3.7616653258
nostop,krovetz,hiemstralm,0.207548,0.449804,0.456,0.49078,0.28619,0.344758,1.5205026648,5.6956692992,5.8832,71.647582578,1.194001405,4.1139374218
nostop,krovetz,ifb2,0.082636,0.155168,0.132,0.228238,0.130518,0.1493,0.8866685752,2.7457896088,2.1488,123.480930327,1.2990135738,2.49729614
