stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
nostop,nolug,bb2,0.028226,0.06745,0.072,0.075884,0.047538,0.055448,0.2717527362,1.975901465,2.1208,1.5973061272,0.6723751578,1.2639641048
nostop,nolug,bm25,0.247508,0.590252,0.574,0.521672,0.32205,0.522128,1.4404323368,4.2597780448,4.4562,13.7138807152,1.026973965,3.1106074208
nostop,nolug,dfiz,0.148504,0.45535,0.44,0.376742,0.245782,0.420068,1.1747107792,4.925911385,4.82,12.039351903,1.3416582738,4.3696410488
nostop,nolug,dfree,0.270948,0.616232,0.606,0.5423,0.345142,0.513628,1.6935465648,4.1173338088,3.9682,21.12420493,1.1965997018,3.2813565208
nostop,nolug,dirichletlm,0.203558,0.51305,0.486,0.456618,0.281864,0.46212,1.5329407818,4.900006205,5.2002,19.7829681922,1.3041651552,4.01767302
nostop,nolug,dlh,0.205118,0.491998,0.47,0.470996,0.284714,0.442786,1.4388830138,4.3218026498,3.965,22.7250959896,1.1546893602,3.7062370802
nostop,nolug,dph,0.26899,0.632874,0.62,0.539202,0.34292,0.532798,1.653260965,4.0442480162,4.0,29.1406161086,1.15621784,3.6744623098
nostop,nolug,hiemstralm,0.176878,0.404952,0.382,0.435572,0.263122,0.37466,1.5181135658,4.6969124848,4.1538,27.4460400644,1.3491485258,3.9538186
nostop,nolug,ifb2,0.01021,0.083246,0.068,0.041164,0.024918,0.07469,0.057243485,1.7338562042,1.1488,87.7579483132,0.2662931938,1.372994185
nostop,nolug,inb2,0.237488,0.617272,0.6,0.483468,0.309588,0.551228,1.4673739728,4.4637187208,4.96,42.0238156196,1.2980317528,3.2381970808
nostop,nolug,inl2,0.269652,0.613582,0.592,0.540666,0.348,0.546068,1.5486402048,4.2892152938,4.5168,50.9556380014,1.16913436,3.2567486888
nostop,nolug,inexpb2,0.25844,0.625456,0.606,0.529012,0.330972,0.55561,1.50372848,3.9433056832,4.1282,51.6200386712,1.0604256208,3.090525085
nostop,nolug,jskls,0.273612,0.629784,0.62,0.543206,0.347232,0.525132,1.6582662528,4.0464694672,3.88,56.0108248122,1.2024201288,3.3230400488
nostop,nolug,lemurtfidf,0.244774,0.574726,0.556,0.52821,0.33171,0.51261,1.3083465962,4.5990061362,4.5032,55.693367358,0.969099065,3.866451765
nostop,nolug,lgd,0.255624,0.591378,0.582,0.525956,0.33209,0.527588,1.5237623512,4.4677348658,4.1538,57.6444956512,1.180564085,3.9770129528
nostop,nolug,pl2,0.063508,0.186588,0.168,0.154992,0.094244,0.194594,0.8191001168,4.1586701528,3.6688,116.263975199,1.0527306832,4.4635602682
nostop,nolug,tfidf,0.26461,0.619638,0.594,0.53412,0.343522,0.558908,1.520744165,4.0907340778,4.6282,71.02485772,1.1263033258,3.1477071968
nostop,krovetz,bb2,0.03202,0.088158,0.082,0.085378,0.0529,0.090498,0.32186386,2.4801595418,2.2338,164.240703953,0.74050902,2.5132042298
nostop,krovetz,bm25,0.278516,0.6116,0.58,0.559004,0.359696,0.561398,1.3850844672,4.34526902,4.24,91.0909523404,1.2491324992,3.6053313698
nostop,krovetz,dfiz,0.15701,0.461482,0.458,0.39607,0.250776,0.421364,1.125950585,4.8511364538,5.2418,75.470277416,1.2594122512,4.4168518152
nostop,krovetz,dfree,0.301776,0.641012,0.63,0.590756,0.37633,0.562846,1.6222035912,3.6607033128,3.905,107.39009634,1.416606625,3.0979731842
nostop,krovetz,dirichletlm,0.200556,0.51345,0.484,0.467878,0.281466,0.49061,1.1980892232,5.065643845,4.9472,83.1254023876,1.2168592522,4.168517065
nostop,krovetz,dlh,0.21345,0.475528,0.45,0.487646,0.300118,0.439256,1.430621785,3.9696329408,4.085,87.8356439182,1.3133279338,3.7128163432
nostop,krovetz,dph,0.307906,0.66963,0.644,0.588616,0.376316,0.582768,1.6621461082,3.371033645,3.9032,115.245237342,1.5048917272,3.1160961888
nostop,krovetz,hiemstralm,0.180016,0.385156,0.37,0.455372,0.278912,0.332168,1.2573696272,4.0932893432,3.825,90.5309118,1.2843440928,2.6612599688
nostop,krovetz,ifb2,0.011638,0.089484,0.08,0.044536,0.028098,0.083174,0.0946438178,1.7811019672,1.52,283.627306175,0.3182027898,1.3210352362
nostop,krovetz,inb2,0.257968,0.599642,0.584,0.51528,0.324552,0.53074,1.3127176488,5.0316276418,5.2072,112.331029032,1.1593450648,4.22608452
nostop,krovetz,inl2,0.307682,0.637088,0.614,0.589344,0.382302,0.566802,1.4534788138,3.8355591128,3.8202,139.453909746,1.2870528898,3.4827315298
nostop,krovetz,inexpb2,0.293566,0.6321,0.61,0.570412,0.370956,0.561478,1.4341509122,4.11700398,4.145,133.687372282,1.2969794832,3.3512160858
nostop,krovetz,jskls,0.307922,0.64857,0.638,0.595136,0.3839,0.561068,1.6164883258,3.605986025,3.9978,146.386897255,1.41127794,3.1397012288
nostop,krovetz,lemurtfidf,0.281178,0.636168,0.612,0.563448,0.357552,0.557062,1.3600888658,3.7255840088,3.4128,135.078890922,1.1302466048,3.3425616978
nostop,krovetz,lgd,0.277274,0.610584,0.6,0.561776,0.352782,0.546516,1.4383671962,4.1835812272,4.24,136.703926518,1.1113212738,3.9274369472
nostop,krovetz,pl2,0.078622,0.205208,0.18,0.18006,0.111654,0.210432,1.0291226858,4.6383261368,4.06,235.696699168,1.4551857842,4.5312809888
nostop,krovetz,tfidf,0.303324,0.638914,0.606,0.582962,0.376678,0.5693,1.4303513312,4.0297091402,3.9882,158.52160457,1.2991580458,3.48169666
nostop,lovins,bb2,0.02615,0.074268,0.07,0.070962,0.04434,0.062642,0.298972785,2.1348009288,2.025,365.797381928,0.62019864,1.4855765618
nostop,lovins,bm25,0.258488,0.561732,0.548,0.53842,0.330038,0.498036,1.6122787128,4.8530177688,4.8448,155.952141188,1.4480317778,4.0213330552
nostop,lovins,dfiz,0.14141,0.414232,0.39,0.361338,0.223278,0.415852,1.256217445,5.4072807488,5.345,150.81749104,1.4135000858,4.7845257848
nostop,lovins,dfree,0.291964,0.610356,0.596,0.57477,0.372308,0.524356,1.8780194552,4.1886453832,4.4392,179.341072462,1.6900373968,3.5929930632
nostop,lovins,dirichletlm,0.19982,0.498588,0.484,0.459756,0.292406,0.47015,1.43581446,5.2926370928,5.2872,148.160848335,1.7287019882,4.448578345
nostop,lovins,dlh,0.19511,0.44224,0.424,0.457008,0.289986,0.420854,1.493802265,4.3689047,4.4912,150.747720282,1.3843346402,4.4621934242
nostop,lovins,dph,0.293478,0.634598,0.606,0.572122,0.369372,0.563084,1.8339504458,4.1857982898,4.1882,187.687034376,1.6615015208,3.6253420872
nostop,lovins,hiemstralm,0.181266,0.376338,0.37,0.447134,0.27546,0.317232,1.3695865922,4.2055501578,4.205,156.55217399,1.49333114,3.1484248688
nostop,lovins,ifb2,0.00929,0.071242,0.062,0.036692,0.021838,0.065252,0.099344645,1.5221471818,1.3178,504.203360502,0.2321275178,1.1091729848
nostop,lovins,inb2,0.24816,0.57535,0.552,0.50254,0.31508,0.523174,1.55116802,5.285633365,5.0248,178.203629016,1.36824048,4.7345640762
nostop,lovins,inl2,0.292944,0.612656,0.584,0.57011,0.36033,0.537684,1.7431708432,4.4863989632,4.5872,210.488282049,1.338387365,3.8798791672
nostop,lovins,inexpb2,0.27861,0.607182,0.578,0.553562,0.348822,0.53785,1.588487165,4.5220852538,4.6058,203.5489994,1.1599847658,3.896384025
nostop,lovins,jskls,0.298628,0.63038,0.622,0.578778,0.377156,0.540588,1.8733853208,4.18241832,4.1258,220.730728749,1.6908563032,3.5663922328
nostop,lovins,lemurtfidf,0.261762,0.593388,0.568,0.540428,0.347566,0.547078,1.5692240178,4.8182679128,4.8888,202.203476564,1.4256855322,4.2860203858
nostop,lovins,lgd,0.274226,0.587164,0.564,0.549338,0.349866,0.529784,1.6883969562,4.8197092152,4.6152,209.020037492,1.2305818722,4.3930047672
nostop,lovins,pl2,0.05894,0.144714,0.126,0.143912,0.087868,0.17068,0.74388914,3.5757263402,3.2162,412.993186071,1.1243231088,4.24462336
nostop,lovins,tfidf,0.289898,0.618836,0.602,0.567014,0.356418,0.550764,1.6805392298,4.3901612152,4.4898,232.537953257,1.4347118538,3.7974123552
nostop,porter,bb2,0.031654,0.092146,0.086,0.08237,0.04956,0.091098,0.3528304642,2.6075905842,2.5602,529.889956304,0.6690435,2.5381294898
nostop,porter,bm25,0.27703,0.58853,0.562,0.56443,0.350516,0.5195,1.400111145,4.220152005,4.4578,246.339895441,1.0144280272,3.45726708
nostop,porter,dfiz,0.154762,0.444776,0.432,0.389634,0.240768,0.41736,1.2586781978,4.6640384112,4.9088,214.635415956,1.3870984688,4.40937528
nostop,porter,dfree,0.304044,0.61995,0.6,0.591592,0.378972,0.54047,1.7393113632,3.695640325,4.12,273.534392227,1.3289764808,3.046919305
nostop,porter,dirichletlm,0.200848,0.49788,0.474,0.472472,0.285762,0.477116,1.3071535848,5.24605836,5.2162,217.139427296,1.3091486778,4.5212831872
nostop,porter,dlh,0.213224,0.476028,0.458,0.484588,0.299368,0.426262,1.5547034512,4.2938649408,4.1018,222.317480519,1.3580140088,3.8719064978
nostop,porter,dph,0.307468,0.663172,0.628,0.59279,0.366628,0.584956,1.6845906888,3.5752700808,3.6008,283.674207054,1.1308768008,3.2064692032
nostop,porter,hiemstralm,0.186786,0.375898,0.366,0.466862,0.28335,0.304378,1.2904105002,3.8688828698,3.7522,224.838558529,1.327144865,2.1508033658
nostop,porter,ifb2,0.010212,0.082564,0.078,0.04035,0.02695,0.075124,0.1003539728,1.5121275552,1.4058,709.15630208,0.269720565,1.1416190512
nostop,porter,inb2,0.263854,0.602366,0.582,0.52306,0.342608,0.542028,1.4600209242,4.9794543722,5.0338,256.150315994,1.4969768768,4.1022898208
