stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
indri,porter,hiemstralm,0.122046,0.277184,0.248,0.45876,0.23291,0.275634,0.3961868242,2.5509692472,2.3848,467.952597804,0.717548485,2.9507804922
indri,porter,ifb2,0.208158,0.405276,0.378,0.55793,0.313942,0.379698,1.0389670418,3.8620793712,3.6458,533.481076002,0.9081531218,3.4213268898
indri,porter,inb2,0.200036,0.409322,0.382,0.551082,0.297942,0.389272,0.8641631152,3.6217796458,3.4738,526.098752083,0.8834408018,3.2641922008
indri,porter,inl2,0.2062,0.416498,0.392,0.568844,0.312802,0.386846,0.93927328,3.8572232698,3.8568,554.057862562,0.9263882698,3.6377983842
indri,porter,inexpb2,0.211958,0.417224,0.384,0.563796,0.314158,0.388628,1.0127581818,3.7763276512,3.6072,548.166621055,0.9030794618,3.3194255408
indri,porter,jskls,0.217944,0.42374,0.384,0.582814,0.321232,0.40385,0.9632159432,3.51867896,3.2072,582.164290486,0.9179185088,3.708277925
indri,porter,lemurtfidf,0.212398,0.40925,0.382,0.551064,0.303948,0.383574,1.2697780498,4.035033385,3.8738,534.041914221,1.2251050248,3.7198244962
indri,porter,lgd,0.207172,0.411062,0.37,0.567144,0.311262,0.421176,1.0070061808,3.5215372178,3.205,559.32164378,1.0299124578,3.8861005512
indri,porter,pl2,0.208876,0.423272,0.39,0.543014,0.310622,0.398914,1.0743240512,4.1471188808,3.865,527.788917655,1.0766745658,3.9039103602
indri,porter,tfidf,0.205462,0.42166,0.396,0.56405,0.311228,0.396722,0.8854871778,3.80169462,3.8392,558.19222763,0.8425480408,3.7189024258
indri,snowballPorter,bb2,0.209748,0.416692,0.386,0.559788,0.299346,0.404668,1.0200459848,4.0469476968,3.7602,553.99215486,1.0099130842,3.8196176288
indri,snowballPorter,bm25,0.205348,0.417788,0.398,0.56329,0.30903,0.386946,0.8727405848,3.8060747128,3.8298,561.049429572,0.870281885,3.5482634442
indri,snowballPorter,dfiz,0.193866,0.380712,0.366,0.564132,0.299424,0.378324,0.8294084922,3.4602694128,3.1322,564.157282445,0.9331386112,4.1344968512
indri,snowballPorter,dfree,0.214074,0.417462,0.376,0.575014,0.31707,0.402152,0.9679576962,3.5345968378,3.5312,583.87953457,0.940843545,3.7089935648
indri,snowballPorter,dirichletlm,0.167186,0.345234,0.31,0.514694,0.267218,0.347112,0.8069666402,3.5691661922,3.405,513.478253442,0.9360985738,4.1305621928
indri,snowballPorter,dlh,0.192842,0.37995,0.372,0.551364,0.298544,0.360512,0.8933854818,3.537697865,3.7208,552.129687978,0.8379181832,3.6476773328
indri,snowballPorter,dph,0.221728,0.436246,0.418,0.588398,0.319774,0.414696,0.9695219608,3.8239049242,3.6138,614.99259498,0.8968728562,3.8411694192
indri,snowballPorter,hiemstralm,0.122632,0.279,0.25,0.458466,0.234394,0.275662,0.3942702288,2.62681954,2.445,510.142769284,0.7312272682,2.9580432378
indri,snowballPorter,ifb2,0.209194,0.408426,0.384,0.558544,0.314112,0.379728,1.0375650882,3.9654679362,3.8072,568.700776778,0.9156853528,3.4223716208
indri,snowballPorter,inb2,0.200782,0.415592,0.384,0.550222,0.299288,0.389876,0.8590294338,3.6768022968,3.4872,559.340666853,0.8709950328,3.3091617112
indri,snowballPorter,inl2,0.206586,0.41707,0.392,0.568492,0.3126,0.386868,0.9384107602,3.862841445,3.8568,588.034979348,0.95573592,3.6440859688
indri,snowballPorter,inexpb2,0.212856,0.421184,0.392,0.563922,0.314402,0.388798,1.0109386432,3.8334410872,3.7368,582.82504754,0.9114045298,3.3211528498
indri,snowballPorter,jskls,0.2182,0.424926,0.386,0.582498,0.323418,0.403852,0.96029106,3.5416133362,3.2602,616.66046331,0.8872654538,3.7109649248
indri,snowballPorter,lemurtfidf,0.212586,0.408824,0.382,0.551258,0.303874,0.383458,1.2693259602,4.0172289112,3.8738,568.725571088,1.2408512762,3.7208655218
indri,snowballPorter,lgd,0.207324,0.411528,0.37,0.566444,0.313486,0.42105,1.0053937112,3.5344626808,3.205,592.78196966,0.9921010002,3.892138865
indri,snowballPorter,pl2,0.209334,0.424532,0.392,0.542292,0.310252,0.39884,1.0743416122,4.1931964688,3.9568,561.548531225,1.0903131448,3.90718322
