topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
451,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
452,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0024,0.0000,0.0005
453,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
454,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
455,nostop,nolug,bb2,0.3309,0.5414,0.6000,0.6300,0.3802,0.7879
456,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
457,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
458,nostop,nolug,bb2,0.0784,0.0485,0.1000,0.4105,0.1873,0.0612
459,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
460,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
461,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
462,nostop,nolug,bb2,0.0283,0.0634,0.1000,0.3356,0.1359,0.0522
463,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0051,0.0000,0.0004
464,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
465,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
466,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
467,nostop,nolug,bb2,0.0010,0.0000,0.0000,0.0809,0.0435,0.0053
468,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
469,nostop,nolug,bb2,0.1240,0.2000,0.1000,0.5154,0.2619,0.7556
470,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
471,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
472,nostop,nolug,bb2,0.0951,0.3628,0.4000,0.3543,0.2381,0.7757
473,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
474,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
475,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
476,nostop,nolug,bb2,0.0002,0.0000,0.0000,0.0213,0.0000,0.0020
477,nostop,nolug,bb2,0.0134,0.0000,0.0000,0.5291,0.0217,0.0161
478,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
479,nostop,nolug,bb2,0.0047,0.0006,0.0000,0.1504,0.0759,0.0131
480,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
481,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
482,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
483,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
484,nostop,nolug,bb2,0.0001,0.0000,0.0000,0.0232,0.0079,0.0003
485,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
486,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
487,nostop,nolug,bb2,0.0824,0.2125,0.2000,0.4240,0.3233,0.1650
488,nostop,nolug,bb2,0.0006,0.0000,0.0000,0.0591,0.0347,0.0013
489,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
490,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
491,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
492,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
493,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
494,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
495,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
496,nostop,nolug,bb2,0.1061,0.3443,0.3000,0.3044,0.2269,0.7717
497,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
498,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
499,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
500,nostop,nolug,bb2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
451,nostop,nolug,bm25,0.5473,0.8165,0.9000,0.7719,0.4710,0.8564
